Customer ID,Product ID,Purchase Amount,Purchase Date,Category
C109,P5,181.18,2023-08-15,Sports
C446,P26,366.37,2023-06-17,Beauty
C244,P44,137.2,2023-05-31,Electronics
C428,P21,255.43,2023-11-16,Beauty
C200,P34,25.3,2023-04-22,Clothing
C366,P8,284.84,2023-08-23,Home & Garden
C492,P41,336.65,2023-12-30,Beauty
C155,P6,307.86,2023-09-21,Home & Garden
C432,P7,449.3,2023-06-13,Electronics
C497,P29,78.27,2023-08-30,Electronics
C19,P40,272.33,2023-06-04,Beauty
C211,P29,177.49,2023-07-12,Electronics
C297,P44,432.57,2023-11-05,Electronics
C19,P22,459.36,2023-07-20,Electronics
C179,P29,216.07,2023-11-21,Electronics
C350,P39,490.9,2023-10-24,Beauty
C366,P33,308.42,2023-01-05,Home & Garden
C295,P31,242.07,2023-06-10,Beauty
C400,P1,118.34,2023-03-19,Home & Garden
C109,P24,193.79,2023-01-31,Clothing
C351,P40,138.37,2023-12-27,Beauty
C89,P37,313.83,2023-12-18,Home & Garden
C394,P15,396.7,2023-07-03,Electronics
C89,P43,324.28,2023-10-21,Beauty
C197,P4,299.66,2023-02-08,Electronics
C76,P21,42.77,2023-10-14,Beauty
C227,P1,479.41,2023-03-18,Home & Garden
C77,P48,267.26,2023-05-21,Home & Garden
C199,P1,31.67,2023-02-17,Home & Garden
C439,P29,145.29,2023-12-21,Electronics
C227,P46,332.08,2023-02-28,Clothing
C438,P29,115.0,2023-03-01,Electronics
C419,P46,208.75,2023-07-03,Clothing
C318,P24,85.93,2023-02-20,Clothing
C215,P1,206.04,2023-08-03,Home & Garden
C83,P24,374.35,2023-02-19,Clothing
C205,P34,473.36,2023-01-24,Clothing
C174,P38,414.04,2023-12-29,Sports
C494,P49,77.29,2023-07-31,Sports
C2,P28,43.53,2023-07-06,Sports
C237,P30,486.12,2023-11-21,Clothing
C364,P47,291.02,2023-03-20,Sports
C190,P8,57.64,2023-06-15,Home & Garden
C392,P6,348.69,2023-04-12,Home & Garden
C176,P7,72.78,2023-12-27,Electronics
C191,P10,239.75,2023-01-14,Electronics
C492,P35,458.48,2023-09-07,Home & Garden
C11,P32,192.25,2023-03-18,Clothing
C380,P7,212.1,2023-11-07,Electronics
C399,P39,319.31,2023-03-11,Beauty
C315,P33,206.34,2023-01-07,Home & Garden
C184,P38,404.86,2023-09-17,Sports
C69,P43,103.25,2023-08-04,Beauty
C201,P13,115.82,2023-07-11,Sports
C254,P49,242.93,2023-06-19,Sports
C143,P33,121.25,2023-11-24,Home & Garden
C364,P4,294.83,2023-08-22,Electronics
C152,P42,331.53,2023-06-30,Clothing
C11,P37,284.27,2023-04-30,Home & Garden
C463,P22,452.32,2023-03-23,Electronics
C468,P7,404.01,2023-10-28,Electronics
C297,P47,382.23,2023-12-08,Sports
C167,P22,146.9,2023-01-23,Electronics
C73,P34,254.0,2023-01-14,Clothing
C28,P47,251.79,2023-02-19,Sports
C35,P31,268.45,2023-06-16,Beauty
C111,P46,39.84,2023-04-30,Clothing
C303,P40,153.16,2023-12-17,Beauty
C399,P42,82.73,2023-04-03,Clothing
C45,P27,83.13,2023-01-16,Electronics
C104,P27,303.19,2023-04-11,Electronics
C258,P33,26.67,2023-02-09,Home & Garden
C245,P37,338.25,2023-09-03,Home & Garden
C483,P37,411.83,2023-07-28,Home & Garden
C136,P28,471.19,2023-02-18,Sports
C355,P32,184.93,2023-06-21,Clothing
C394,P2,191.49,2023-02-12,Sports
C469,P50,216.0,2023-11-18,Home & Garden
C23,P33,125.46,2023-11-30,Home & Garden
C244,P11,31.89,2023-12-30,Electronics
C58,P37,42.99,2023-03-13,Home & Garden
C55,P22,25.06,2023-06-22,Electronics
C418,P46,428.02,2023-09-20,Clothing
C384,P24,104.57,2023-11-02,Clothing
C469,P48,425.79,2023-07-28,Home & Garden
C197,P43,311.29,2023-11-24,Beauty
C141,P33,224.62,2023-11-18,Home & Garden
C96,P39,198.79,2023-10-19,Beauty
C38,P8,299.31,2023-04-02,Home & Garden
C117,P2,472.34,2023-07-20,Sports
C171,P6,108.2,2023-09-13,Home & Garden
C110,P5,136.82,2023-04-01,Sports
C104,P45,27.23,2023-10-03,Home & Garden
C57,P47,273.22,2023-07-23,Sports
C134,P36,198.4,2023-09-21,Beauty
C263,P50,176.94,2023-06-15,Home & Garden
C498,P14,94.13,2023-05-11,Sports
C22,P12,156.32,2023-01-27,Home & Garden
C300,P14,131.74,2023-08-30,Sports
C111,P11,302.78,2023-03-18,Electronics
C207,P35,471.07,2023-09-30,Home & Garden
C452,P22,381.12,2023-05-27,Electronics
C47,P8,57.75,2023-08-04,Home & Garden
C346,P9,431.11,2023-01-08,Sports
C51,P43,140.88,2023-01-25,Beauty
C102,P26,306.74,2023-11-14,Beauty
C68,P32,453.73,2023-06-04,Clothing
C185,P40,196.94,2023-12-29,Beauty
C52,P31,253.11,2023-02-25,Beauty
C368,P31,237.35,2023-09-21,Beauty
C16,P6,399.28,2023-08-07,Home & Garden
C45,P35,64.07,2023-07-03,Home & Garden
C362,P46,490.29,2023-03-20,Clothing
C409,P7,110.2,2023-06-29,Electronics
C372,P8,181.45,2023-06-03,Home & Garden
C395,P25,249.42,2023-06-25,Sports
C167,P28,297.93,2023-10-10,Sports
C482,P43,39.14,2023-12-02,Beauty
C285,P16,458.91,2023-03-29,Clothing
C191,P43,269.29,2023-01-24,Beauty
C377,P35,72.31,2023-06-27,Home & Garden
C369,P31,61.43,2023-11-17,Beauty
C280,P24,470.62,2023-04-11,Clothing
C317,P6,81.16,2023-07-09,Home & Garden
C122,P44,391.46,2023-08-07,Electronics
C314,P27,107.0,2023-02-06,Electronics
C29,P38,144.61,2023-05-20,Sports
C398,P12,342.25,2023-01-26,Home & Garden
C214,P43,137.89,2023-02-09,Beauty
C132,P24,287.47,2023-06-08,Clothing
C265,P9,159.78,2023-07-13,Sports
C35,P40,182.62,2023-12-09,Beauty
C477,P46,222.68,2023-08-31,Clothing
C81,P27,426.41,2023-04-29,Electronics
C464,P45,394.56,2023-09-03,Home & Garden
C194,P4,477.32,2023-02-14,Electronics
C446,P29,75.9,2023-02-28,Electronics
C243,P30,422.6,2023-04-15,Clothing
C314,P34,43.87,2023-02-05,Clothing
C264,P17,397.55,2023-12-20,Home & Garden
C361,P24,322.26,2023-03-19,Clothing
C403,P49,396.15,2023-03-02,Sports
C394,P22,311.78,2023-02-12,Electronics
C338,P13,341.15,2023-06-17,Sports
C142,P37,124.05,2023-10-12,Home & Garden
C23,P43,303.86,2023-08-13,Beauty
C455,P8,497.29,2023-08-06,Home & Garden
C448,P34,442.75,2023-07-09,Clothing
C199,P36,224.76,2023-04-18,Beauty
C43,P38,95.22,2023-06-27,Sports
C397,P28,365.05,2023-03-08,Sports
C169,P24,448.69,2023-12-10,Clothing
C9,P48,388.69,2023-08-01,Home & Garden
C106,P12,404.85,2023-12-06,Home & Garden
C323,P39,378.9,2023-02-15,Beauty
C289,P26,369.13,2023-06-22,Beauty
C372,P6,12.35,2023-11-16,Home & Garden
C11,P39,152.5,2023-01-18,Beauty
C56,P10,348.12,2023-10-05,Electronics
C96,P16,268.15,2023-02-17,Clothing
C346,P4,430.1,2023-06-28,Electronics
C151,P2,291.74,2023-05-05,Sports
C303,P26,267.41,2023-10-08,Beauty
C222,P25,496.05,2023-05-05,Sports
C308,P5,57.32,2023-03-02,Sports
C147,P11,230.03,2023-02-18,Electronics
C120,P38,426.86,2023-05-02,Sports
C43,P6,358.1,2023-04-05,Home & Garden
C486,P24,118.6,2023-09-20,Clothing
C180,P39,169.5,2023-04-27,Beauty
C353,P16,433.67,2023-10-15,Clothing
C42,P8,473.6,2023-08-18,Home & Garden
C373,P13,184.2,2023-10-26,Sports
C420,P50,124.5,2023-05-24,Home & Garden
C86,P39,12.92,2023-01-05,Beauty
C255,P47,39.22,2023-12-25,Sports
C269,P14,439.52,2023-09-02,Sports
C222,P46,469.31,2023-07-31,Clothing
C352,P41,414.68,2023-05-14,Beauty
C316,P15,143.2,2023-03-13,Electronics
C170,P41,133.74,2023-12-23,Beauty
C286,P10,43.1,2023-07-16,Electronics
C349,P43,444.18,2023-09-26,Beauty
C23,P30,19.22,2023-07-14,Clothing
C451,P25,232.36,2023-10-22,Sports
C197,P42,239.4,2023-01-30,Clothing
C190,P25,135.36,2023-11-30,Sports
C250,P46,305.77,2023-09-22,Clothing
C40,P38,28.11,2023-03-17,Sports
C426,P32,498.76,2023-07-20,Clothing
C465,P16,361.88,2023-11-02,Clothing
C353,P28,450.42,2023-07-05,Sports
C314,P23,479.47,2023-12-13,Home & Garden
C387,P30,349.53,2023-10-02,Clothing
C198,P23,423.34,2023-12-19,Home & Garden
C451,P7,368.28,2023-12-15,Electronics
C184,P38,222.75,2023-07-21,Sports
C103,P19,460.87,2023-10-19,Clothing
C112,P7,279.36,2023-07-25,Electronics
C267,P47,118.37,2023-10-07,Sports
C206,P27,10.45,2023-08-10,Electronics
C36,P24,426.71,2023-12-21,Clothing
C65,P9,15.83,2023-11-09,Sports
C467,P29,377.51,2023-04-21,Electronics
C42,P7,32.44,2023-08-01,Electronics
C145,P28,21.09,2023-02-10,Sports
C147,P48,110.25,2023-02-01,Home & Garden
C13,P46,184.75,2023-12-21,Clothing
C405,P34,417.11,2023-03-31,Clothing
C117,P6,405.74,2023-10-11,Home & Garden
C250,P38,33.54,2023-04-21,Sports
C9,P27,329.95,2023-03-14,Electronics
C251,P27,125.57,2023-05-31,Electronics
C35,P34,59.21,2023-11-21,Clothing
C473,P41,455.41,2023-07-11,Beauty
C130,P10,207.17,2023-09-26,Electronics
C228,P37,361.13,2023-01-09,Home & Garden
C392,P23,280.97,2023-03-11,Home & Garden
C260,P45,412.26,2023-10-02,Home & Garden
C337,P28,16.94,2023-08-20,Sports
C319,P3,311.02,2023-12-04,Electronics
C329,P8,496.48,2023-03-16,Home & Garden
C495,P41,330.83,2023-04-03,Beauty
C472,P48,339.69,2023-05-22,Home & Garden
C268,P48,347.78,2023-01-31,Home & Garden
C149,P15,483.18,2023-07-01,Electronics
C61,P21,145.15,2023-09-06,Beauty
C403,P22,446.38,2023-09-18,Electronics
C230,P9,495.71,2023-12-13,Sports
C439,P16,66.13,2023-07-10,Clothing
C223,P11,236.97,2023-11-19,Electronics
C378,P28,294.17,2023-11-02,Sports
C96,P25,54.52,2023-07-10,Sports
C310,P42,339.03,2023-11-19,Clothing
C365,P15,303.29,2023-02-23,Electronics
C284,P26,80.82,2023-10-15,Beauty
C500,P7,88.32,2023-10-19,Electronics
C460,P18,144.67,2023-01-11,Home & Garden
C108,P44,415.97,2023-09-04,Electronics
C303,P50,56.04,2023-03-01,Home & Garden
C80,P12,243.74,2023-09-15,Home & Garden
C219,P44,207.46,2023-09-07,Electronics
C264,P41,191.14,2023-11-27,Beauty
C427,P8,392.67,2023-08-02,Home & Garden
C155,P31,437.17,2023-03-08,Beauty
C55,P47,420.41,2023-06-08,Sports
C482,P28,26.41,2023-07-30,Sports
C495,P7,45.42,2023-12-18,Electronics
C85,P37,405.56,2023-09-28,Home & Garden
C245,P43,367.28,2023-11-10,Beauty
C118,P29,470.63,2023-07-27,Electronics
C289,P10,196.67,2023-11-12,Electronics
C407,P27,234.23,2023-11-26,Electronics
C195,P19,191.54,2023-09-03,Clothing
C339,P17,326.67,2023-03-01,Home & Garden
C49,P9,337.44,2023-08-23,Sports
C365,P33,309.36,2023-07-15,Home & Garden
C130,P8,36.24,2023-04-02,Home & Garden
C16,P18,201.75,2023-08-30,Home & Garden
C172,P7,52.98,2023-01-21,Electronics
C14,P23,214.76,2023-09-10,Home & Garden
C201,P17,72.13,2023-10-26,Home & Garden
C19,P29,265.87,2023-06-10,Electronics
C76,P49,129.02,2023-11-21,Sports
C402,P20,388.99,2023-04-26,Clothing
C165,P7,460.39,2023-12-18,Electronics
C10,P4,117.43,2023-03-05,Electronics
C480,P30,478.41,2023-08-29,Clothing
C217,P43,277.91,2023-11-12,Beauty
C482,P39,373.71,2023-05-07,Beauty
C15,P1,211.92,2023-06-18,Home & Garden
C214,P50,66.56,2023-06-24,Home & Garden
C20,P4,165.06,2023-11-02,Electronics
C71,P23,211.33,2023-05-08,Home & Garden
C395,P43,213.73,2023-02-28,Beauty
C173,P8,212.44,2023-01-17,Home & Garden
C33,P42,234.4,2023-05-20,Clothing
C349,P43,426.83,2023-07-04,Beauty
C6,P29,193.05,2023-05-21,Electronics
C271,P25,498.24,2023-06-15,Sports
C434,P34,306.26,2023-09-13,Clothing
C342,P29,357.44,2023-02-24,Electronics
C148,P17,26.14,2023-10-23,Home & Garden
C454,P22,88.65,2023-05-15,Electronics
C367,P24,496.77,2023-07-07,Clothing
C447,P28,371.44,2023-09-18,Sports
C342,P32,474.68,2023-03-24,Clothing
C365,P20,441.37,2023-05-22,Clothing
C420,P9,130.52,2023-01-19,Sports
C134,P48,141.41,2023-01-28,Home & Garden
C157,P35,352.05,2023-11-29,Home & Garden
C462,P26,158.84,2023-04-21,Beauty
C314,P40,288.72,2023-05-18,Beauty
C18,P22,163.0,2023-01-28,Electronics
C35,P25,348.13,2023-07-12,Sports
C346,P38,39.26,2023-09-09,Sports
C130,P35,88.7,2023-11-29,Home & Garden
C85,P26,361.54,2023-05-17,Beauty
C319,P30,328.58,2023-02-19,Clothing
C8,P30,253.68,2023-04-30,Clothing
C133,P13,10.66,2023-04-17,Sports
C155,P43,258.27,2023-11-18,Beauty
C141,P40,290.74,2023-11-20,Beauty
C433,P6,107.82,2023-06-27,Home & Garden
C496,P21,16.05,2023-02-18,Beauty
C370,P49,257.55,2023-01-03,Sports
C213,P23,210.23,2023-04-19,Home & Garden
C310,P40,192.82,2023-11-05,Beauty
C473,P9,314.82,2023-07-15,Sports
C125,P49,284.93,2023-08-27,Sports
C262,P40,498.33,2023-10-21,Beauty
C486,P4,488.19,2023-06-17,Electronics
C172,P35,373.72,2023-07-05,Home & Garden
C420,P27,168.82,2023-09-26,Electronics
C198,P30,329.63,2023-01-08,Clothing
C260,P42,345.39,2023-04-13,Clothing
C181,P21,325.02,2023-08-11,Beauty
C372,P43,92.4,2023-09-29,Beauty
C65,P7,242.18,2023-11-22,Electronics
C48,P39,138.05,2023-01-22,Beauty
C75,P1,96.63,2023-09-19,Home & Garden
C396,P42,345.11,2023-08-19,Clothing
C237,P4,281.46,2023-02-10,Electronics
C313,P20,453.13,2023-10-30,Clothing
C96,P21,205.67,2023-03-29,Beauty
C165,P50,175.85,2023-11-19,Home & Garden
C277,P3,177.59,2023-08-15,Electronics
C318,P1,194.99,2023-04-24,Home & Garden
C271,P14,390.5,2023-08-25,Sports
C20,P22,492.47,2023-08-14,Electronics
C104,P40,247.66,2023-06-08,Beauty
C368,P17,377.33,2023-06-09,Home & Garden
C34,P1,368.53,2023-02-10,Home & Garden
C331,P11,393.42,2023-02-08,Electronics
C413,P34,355.55,2023-11-07,Clothing
C88,P35,406.16,2023-06-25,Home & Garden
C414,P7,421.79,2023-12-10,Electronics
C143,P3,83.96,2023-11-07,Electronics
C438,P10,77.84,2023-09-26,Electronics
C119,P6,14.19,2023-12-22,Home & Garden
C311,P47,304.17,2023-07-27,Sports
C120,P17,470.83,2023-07-22,Home & Garden
C258,P25,486.22,2023-11-02,Sports
C360,P10,157.37,2023-08-10,Electronics
C401,P27,129.51,2023-06-09,Electronics
C61,P19,317.07,2023-05-15,Clothing
C332,P47,405.76,2023-02-04,Sports
C89,P35,131.44,2023-07-30,Home & Garden
C125,P34,114.78,2023-10-17,Clothing
C391,P35,357.11,2023-11-28,Home & Garden
C187,P48,473.56,2023-05-16,Home & Garden
C348,P49,466.11,2023-09-15,Sports
C437,P22,131.87,2023-08-11,Electronics
C179,P50,35.15,2023-10-31,Home & Garden
C75,P12,164.47,2023-12-11,Home & Garden
C183,P43,372.11,2023-04-27,Beauty
C361,P6,265.48,2023-06-22,Home & Garden
C33,P34,170.63,2023-09-03,Clothing
C302,P35,232.86,2023-04-03,Home & Garden
C192,P31,276.78,2023-05-22,Beauty
C290,P18,245.86,2023-02-03,Home & Garden
C409,P22,32.06,2023-12-14,Electronics
C336,P1,213.4,2023-10-06,Home & Garden
C394,P15,153.1,2023-09-16,Electronics
C180,P45,119.55,2023-02-24,Home & Garden
C120,P39,246.27,2023-04-05,Beauty
C161,P47,372.26,2023-07-09,Sports
C249,P29,400.53,2023-03-11,Electronics
C57,P18,181.91,2023-12-17,Home & Garden
C178,P19,329.18,2023-08-26,Clothing
C124,P41,360.59,2023-03-02,Beauty
C58,P43,373.38,2023-02-06,Beauty
C67,P17,184.0,2023-09-24,Home & Garden
C262,P38,87.1,2023-06-08,Sports
C232,P2,56.47,2023-01-31,Sports
C13,P38,245.0,2023-04-08,Sports
C299,P34,317.97,2023-10-19,Clothing
C461,P22,263.3,2023-03-29,Electronics
C458,P48,138.58,2023-08-15,Home & Garden
C3,P35,351.18,2023-01-24,Home & Garden
C61,P49,63.58,2023-06-30,Sports
C374,P12,91.05,2023-11-30,Home & Garden
C424,P10,179.09,2023-01-15,Electronics
C40,P13,386.26,2023-04-20,Sports
C224,P8,114.21,2023-07-27,Home & Garden
C186,P30,392.61,2023-03-03,Clothing
C205,P17,82.98,2023-11-10,Home & Garden
C188,P41,403.02,2023-06-05,Beauty
C337,P22,16.49,2023-03-03,Electronics
C207,P37,195.02,2023-06-29,Home & Garden
C229,P41,281.2,2023-09-19,Beauty
C211,P14,149.9,2023-09-24,Sports
